fecha_pedido,dia_semana,mes,dia_mes,hora_pedido,es_fin_semana,es_festivo,cliente_id,segmento_cliente,compras_previas,ticket_promedio_historico,dias_desde_ultima_compra,zona_entrega,num_items_carrito,incluye_perecederos,valor_carrito,tipo_entrega,nivel_inventario_general,productos_agotados,tiempo_carga_sitio,hay_promocion,descuento_aplicado,canal_adquisicion,clima,temperatura,compra_exitosa
2025-10-16 04:03:12,Thursday,10,16,4,0,0,CLI_1409,Regular,17,43.3,61,Zona 15,19,1,44.62,Programada,99.92,4,4.86,1,5,Orgánico,Lluvioso,21.0,1
2024-04-14 19:51:22,Sunday,4,14,19,1,0,CLI_2424,Regular,14,25.58,59,Zona 10,16,1,75.78,Día siguiente,62.43,5,2.22,1,10,Referido,Nublado,29.5,1
2024-08-26 18:23:57,Monday,8,26,18,0,0,CLI_1434,Nuevo,0,0.0,999,San Miguel Petapa,14,1,60.37,Mismo día,32.52,16,3.24,1,5,Redes Sociales,Lluvioso,25.6,0
2025-07-12 15:16:27,Saturday,7,12,15,1,0,CLI_4611,Regular,12,39.19,63,Villa Nueva,12,0,52.45,Programada,48.18,10,3.07,0,0,Búsqueda Pagada,Soleado,25.5,1
2024-01-07 05:48:46,Sunday,1,7,5,1,0,CLI_7924,Regular,15,28.52,15,Zona 10,7,0,46.43,Mismo día,73.54,0,3.23,1,10,Búsqueda Pagada,Nublado,22.5,1
2024-08-08 12:15:18,Thursday,8,8,12,0,0,CLI_2674,Nuevo,0,0.0,999,Zona 10,24,1,153.06,Día siguiente,83.63,2,3.03,0,0,Búsqueda Pagada,Soleado,25.2,1
2025-01-02 12:31:22,Thursday,1,2,12,0,0,CLI_5333,Nuevo,0,0.0,999,Zona 10,9,1,41.09,Mismo día,36.62,13,4.58,0,0,Redes Sociales,Nublado,20.3,0
2025-01-22 02:52:08,Wednesday,1,22,2,0,0,CLI_5803,Nuevo,0,0.0,999,Zona 10,22,1,166.72,Día siguiente,90.02,0,0.97,0,0,Orgánico,Soleado,26.8,1
2024-08-21 10:32:10,Wednesday,8,21,10,0,0,CLI_2307,Regular,9,47.67,1,Zona 10,20,1,143.29,Mismo día,12.73,14,3.62,0,0,Orgánico,Lluvioso,20.2,0
2025-01-24 10:07:14,Friday,1,24,10,0,0,CLI_8428,Regular,19,26.62,58,San Miguel Petapa,7,1,43.92,Mismo día,72.74,0,1.7,1,10,Orgánico,Soleado,24.3,1
2024-08-02 09:43:13,Friday,8,2,9,0,0,CLI_2169,Regular,14,36.19,70,Zona 10,4,1,26.28,Mismo día,50.21,6,4.93,0,0,Referido,Nublado,19.5,1
2025-04-18 13:48:55,Friday,4,18,13,0,0,CLI_5422,Regular,18,26.02,20,Zona 10,4,1,25.07,Día siguiente,92.26,3,3.4,0,0,Email,Soleado,34.4,0
2024-02-27 08:20:21,Tuesday,2,27,8,0,0,CLI_1525,Nuevo,0,0.0,999,Zona 10,18,1,94.48,Día siguiente,54.15,11,2.82,0,0,Búsqueda Pagada,Lluvioso,23.6,0
2025-08-03 11:27:25,Sunday,8,3,11,1,0,CLI_4483,VIP,28,69.52,19,Mixco,3,1,21.97,Día siguiente,39.97,29,0.88,0,0,Referido,Nublado,18.1,0
